KSM Address,QTZ Address,QTZ Total Amount,Transferrable Amount,TGE Block,Lock blocks,Vesting Blocks,Amount per block,Transfer tx hash,Vesting tx hash
DJM8ZTRddYfLgfWitmfF8PC4yHCec8zQzoPrmT6HzT1DUzs,yGDTY61S9szjUtGFhwjNPi7PTGmhDTuQB23K5CeqDvoWrdSrd,646.1440334,1,10457457,0,4320000,149338896620370,0x2e2ba8b85d3e477db6fe1073d7b426051f500d6874ef78bd62fe7c6493f2c31a,0x2cd6739efac22012c8fe4143a4bd35ff778a37c51afe8b3b0f6f4b814a560724
HBzbQXkTPovKvqAbT3JuAMp93srSEegWN4XTLXCWT3Pvrak,yGHMBYrWUhkzjsWRMpHe3N9N5LrHsFXus7QaCoDuL9G7FLnJo,128.6312565,1,10457457,0,4320000,29544272337962,0x06876b582d413ee5718ac0fbae89745cf068f1892f52a35b9dbd476ac82082ed,0x50b26fa91f0cee566ccda2170f40303fc97bb648028601dde34fa6bf026534f3
J2BvtzZSniectuePEV3wT3MzYvDBk1yxd7VDMtkimyni8ff,yGJBNtLyHh9uUAUVqc55nQS3dCMLE13HAZfdAZFGtMb3e847C,908.0603224,1,10457457,0,4320000,209967667222222,0x99f1f35ca9b27a59f63c544b3a9161a68a55997e4fa754cf584f2c5f8a5b2560,0xe7bdc6245da473c37c7d79e3a195039426c00186a8b3e04fdd9ca8cf794adf98
CzRe7uqpNEWGzZgJhSXKe1PqeAfCAyanf4opPRkmw2STRif,yGD9cbZta4jRKpa9sXY3Fnd1f3Sag1UEmPhaVAGotQk6HsGbj,454.7964282,1,10457457,0,4320000,105045469490740,0x511d4a03bdc4aa3ec846df9ac773087738e35a705b583c454432d13efac010d6,0x14ad117732af7c2a1bac1c2b2e879acac5fd2760d257d8290628fe239e32b189
GwJhGkh7pTsixrUDGrwgZRLqxxrYZJdQkky95yCZXNDc9C4,yGH6VeijRNBehGYSfS7Tg9YRc3mNsMrZp1oGeUyMLCLS51zA9,86.62617815,1,10457457,0,4320000,19820874571759,0xd33cd8cdff65c3f4036879dbba61ea9a273671c3cce5869a2038c7b0b87d991c,0xab7e2b0ae6ff541acd5da652ace0dfd0abc04743cd025ac17b457004ddbf9786
HhDB2zwYjTAGgTomCcSYVpYrUdMKu9E7TMcwquVHEdfhLA6,yGHrQ8Uyfo6dypG3zz3DB1Upp4H3N9CQQiVsJHjHcv3hX7GJS,476.6035041,1,10457457,0,4320000,110093403726851,0xfe6885b66bafa37d50e06869d7e9437838a6aed7c91eae5609dd16b3cbea8958,0x8ac65fa33d0f81d40f4347a09830acba96c54bb2f8b8cd99fd2d5c7a9d44fd35
HncFZzxjfmVg7ikMThY5djvfGLNDSRFLPditJhUEfBkbAam,yGHwoD1ygz2xKDhJwaJJGYckBs4kP2jgRwS9QEC5bsUFc1Hse,43.42492937,1,10457457,0,4320000,9820585502314,0x9ee69f6cc1345ed36b9de11e0c0911cec109a2b54a1566eb688deff7442c2480,0x0591487c5ded1991c9ee7996a2f375139ea2c93384add3c9698d7e5e41d61abb
DzXyZY9zdYvgp3jSNrbtvhFRQTcFKqVuY8NqUSyC5HEj19v,yGE9iw1WtEzjkEPdvfDTLMuhWdCsd4d6gWae4BMq6ptM68s67,724.8595927,1,10457457,0,4320000,167560090902777,0x1151bfee5a36b8889effab5aa3748da3054f194893fd23c2f2b9158ba103143a,0x4c7ed5729382d69a66e380ac877b2d587d7254eb6473f24911f3ac1d1e1d50f1
ErKRC1YR39ASM3NR941SFNiHDyXpdVipGzN4QaHPnfRdSu2,yGF1WNdzGfQKyyvdZdyejuENyV2PYdvkuRKW3QHxR2bjH3SLw,2392592.33,1,10457457,0,4320000,553840585648148148,0x1f3edaed19d1edd2f5856a241b13d32aa8cc34c38598fba499d7e6a99cf4263a,0x696e2e7a423072e21ca2e811560abf03746b719519f317aa5921e999a9a86b82
FaKKZR1i13xViY6BnyZrYRnW4MKoT8Gs26VEL8pyyWKeUDN,yGFjWH1PjxNEn3J8HQdaJKXS3hrmLckPTU4cAaDWxcnaB4FLs,542.1154943,1,10457457,0,4320000,125258216273148,0x58a8fd257a266a6182c0767e05883f32a97d8224af46c193aeda13bc17922b41,0x3d15f6d08b2a895fae1da532622b382dd1e054787d7078effb574f52ceb8f9ec
EdMmVQX9RWZmuaLVc1sa4XvPs2p5bFdXmah2TvRarE151UW,yGEnYiwPFPnhPKVAXiScc33YBbfSpttWp8p6NNMJZDfHrV8aN,1304.518636,1,10457457,0,4320000,301740425000000,0x045c30763e18ddcede11c46b64dc67bf6c9904fd329bf48291e7e001c6f95bb8,0x89c33c73ef4d1026b0af383367f055eebff54cbcb0d7075cdc63e9945957e5b2
EV2VdP67pA1vqbEUKn1jAZkv6YCVKxm8mkxGobTncpGT1Z7,yGEeDT5MpNBLqURBRhANkC9a27txDJdDwjpGdcgybRRt7rjR4,1074.634166,1,10457457,0,4320000,248526427314814,0x27b309a0a17f5e20538bc6e2a774dda2cf5723379c2ff6deb06773a3bf20175c,0x4be2b5a855ab197d42353755042711f504786ef13b2153dfc2b9c1b6e3f317f5
FvUtTkkCFxNzs1CYHnZSAFBLLh1Y6rG2cMzJv5wKWLrCeAD,yGG5fqujUSd9CYSbPm8PHu9FSY972MQ7SdesfeoU4xKQhcLym,183.6554036,1,10457457,0,4320000,42281343425925,0x21fc99bbc470c598d5a8c98bce143e390149e61ac3d11615d269794ff3b8f4e6,0xf82a84b49a363355043f9dfbbaaf4ce3d26e35edfc918fd4c4b6c42a515b7ce7
DiUTXcqgahpttU8iiWhHQaeAUMmYRpNAGSxm8XfwgGPScEy,yGDsfQybZvwteSU4KwZ7RkPauNGmnMj5YmJxe71uoaVLErDbF,42.78614229,1,10457457,0,4320000,9672718122685,0x93d7063b6e99558950e6b9fcc1ba11fb9076b18e5cb208fbfdbf338dc1868e34,0x57e5d32bee1d5033af9a816dcc34bce22e0b0a95f192b0ea330f34f2a5b4914f
Fha45xvCKuzb6oEC9pcYAyG5Zzzbp5xqEve3HKMo2D9aQtc,yGFrm1XweSh6p8gPRQzRM19yXHNR1R7M9SHSKPAhVRqGzzP9M,433.5568192,1,10457457,0,4320000,100128893333333,0x8fe8bbefbfe6f5a46b0c40ead70aaf0e72f6066b8d20e1296094ac24170e2bc3,0x41884e7c53fdc4bf218e4f367001c38ec0059f89a4ff4344fe549e07a025e192
DUxXPiaroqD3Qctf4M8nW3CjoECRxQ5hYUbLnGmPTRjD76w,yGDe9UqhK7B22azD5stwsFV3TwbeDFFfGJazGgfeu2GVad59Y,114.1312611,1,10457457,0,4320000,26187791921296,0xa5a1b77b3e260ba9971d568bde92a4f1060069f44574dd272ebc446ff9f18e8b,0x2b1ecc6087dc7f849cf4ca2b1b885053a5679676df979685dd4f680b5edb7ba5
J6XeLEBtuYANjsgAQutkFg2gfzprczgis3S5Tx8921thayQ,yGJFibnCv9GiyvKTsPFWdDEgHtUQqfvFsKuZ7RMLFmq5k7ZoG,193.0129949,1,10457457,0,4320000,44447452523148,0xc0e52e43942f639c88585f334f8defda39180d873142257080919d5e9e4a68c4,0xfdba4772e2c82cfc9a2a13101c2b2b348b222d8da5b01d1f3044a9d7b1cd03e0
JBX838hpnAJjnqyAFtV65VftZoAmq5wHGA5e6fBbw8HaEcL,yGJLi5V7S59M8HNSAP6VDZ4Vw6NDBb8M7tJfkyz3KEkC8z5aV,248.9508943,1,10457457,0,4320000,57396040347222,0xd97e86a30ab1b6e9d5d93a43b34e3c771b183afeeb1e2a7036f1405dd30101d0,0xf9f20615d033d6e6ef45677de26589728eb372c5f94aaaf09b3d0b4b08b56b98
EtJUPrqaVadbPA8WjuDELAEQkvZwPDvCYMUuTeFcTHvc1mj,yGF3VRqqZprmT8xkKjaVwhKAVcZLakgV6oasAFM2PFGMn24vL,433.102021,1,10457457,0,4320000,100023615972222,0x19e8cce98b72c98ed301d0bff52605f3203516d14484e06ea7fdc3065a96a046,0xf97863b776a6ab6d24809c8c03361dcf417b95b20c2d05fc9016ad81ab4b6332
EALotVkBueAfpgmh2d9kQYVP9h8AZtaMwk2qucc4F6c65ch,yGEKXmLUUSGpzDQGxusDtDPYkax78ys9kxzFiBnzjh4ATVq8b,496.0065839,1,10457457,0,4320000,114584857384259,0x1c351062a3247ae1311e50c9aa07be94ae4661d40459e941d0da969e0738325c,0x532f7ba685ad545b7e741d69adc47a5e25fca87220c596ecd3ffcec1c5bb6eb8
HcdRC2j912r6A5Q6A7zc4GnoPrwawroXcsmMDqQRgyJ7P56,yGHmpNe1TPNDfdjfbJzij53H41CGxQF7z8fPSh7DY4W39XAyz,214.4347399,1,10457457,0,4320000,49406189791666,0x38d9fe7fb3544d32d36151759666e298fdc26e955b55d62e4772c9a831d2d0a1,0xc66022fb70919c2933ceea969604eeb5c191832aaa1a9c3109b3620f1c522f80
EoKiBMMRPKET1LPLNuZT5aJ3iTjRdSqzJJzBnnCkGb6VqTG,yGExWfdL5fkW3zavaZDWHv4aZFWskEvi2bLpfXgALP5ewuVB8,49.68578907,1,10457457,0,4320000,11269858581018,0x286b436ce04e0604acd61a5cbabd501a5f8db3d4bff3229b344be2ebbdb99f44,0xe4b7d3d16c8da57e7a972aa66b0e9b3ee24a24a015f6541c52939ba56f35eaa4
DtrxsK6En9wRMRtfKxXuSArQ3spGxz7vHqjZgsmWVrN2Uyd,yGE43vKHpV9Lkxw25tAZGNRB7brHq6GFJXLMQuaFu9JvDSBKb,525.2580725,1,10457457,0,4320000,121356035300925,0xfe97ce3a9f287d3a8ea4d0b604b7dcbe56aa4874a42b48e2221200c7ae8d4807,0x20547e0388a837e869dae254fc3d05845ea4a499710d5903884007f315192e55
Fyo5X1S6rTE7gnmTHbc26nGnZWrieJUXgST7iEsbMwQKd9D,yGG8z2xzAMDe3fGNxg8CLV5nXzMvsXwZf8ix8Tbd1EB1FjJNz,252.765559,1,10457457,0,4320000,58279064583333,0xe0b898ec7d4f23c268bae301bfd15d47004649bbc810add25e33b661cabb601b,0xe3d729540c189e66dbbb06525cf7c54dfaafec4a64f36b128594b1466948831a
HFK4MciK9WvbpsTpmQMAts5d7ujNYeZFmaZwnEMEoEzW6zu,yGHQW1obSZWhk9QTf3c15dssLpvKkBqujrp6FHfcUscJquz2Y,27943.7661,1,10457457,0,4320000,6468232893518518,0xd37f2950fa6f22e90d3f8abe612915f4f96aa1a93015a757b7c26264e0874360,0xf0b7577cdd77d19181dde8c269b85d70dc33cdb2ebd781d2e28a43c0b07af14a
CznRP77ZMobF8qNHqQC8ii7n6umLfSj2c4eMQhw9G6dm7cf,yGD9yNq5qoizQniRZWfzvbhiNyuKn9xhudeaKhJ64n5AVAqyc,455.2204106,1,10457457,0,4320000,105143613564814,0xc1aab01a84b737aab75e10711837cb83a6a63baf1b48c9083f9ca4933760ad02,0x61c02053cec31c2cfce3a09a86880e78034f38338061077de3a1a371e6ee50c6
D5bQJzvdmudNfjKf21e8fmRSggWcHYyRv21xwe3wqZLQdLz,yGDEnMkyet96SvFKWsrcNbemgeV6XRapA2xXhJq2BaedBpEVB,85.8027581,1,10457457,0,4320000,19630268078703,0xaa3a29522970126eb0f6e13e2aaf4f94bef5564bc2f767275c49d75c06d7975b,0x81a3dc5e467d8cdd2f256074fd9dde245143118f9514807f4239b9bbbf43865e
GwDggz62Vo6gmxiCQQpzNZy6UuDoJQXkJvDnQKHGHe2Q21b,yGH6Qe8xpGryvEMYuRF1ZTMaEJHKEcbfiMMRu8HhQu6hsp6co,325.0131862,1,10457457,0,4320000,75003052361111,0x355f7a4d36f25cea85e4c60d9b1779d22cdabcfa3e24d16c9986f5e25090ecb6,0x9c87c9f99b85ac658e9fca477fa7afc07b7a0f57b7764b241a0ba391e8c8ef98
HjRfAAyEXGruT588RVHV6npMrmWE2qwt36V1wX7wNuLX8es,yGHtccc9hUtTgT2fKMG61x5o5ZfBX3L78V5cAMpuFaByBwJnb,4382.730959,1,10457457,0,4320000,1014289573842592,0x68ea0968d05f89d2d89d4a85317468096a31fbc20f2af7d12f9a01161517b8f3,0xe48349536a2ee5a66e93eb1867386141008371cd0782abddf71390cba284d3bf
J9W39NMkMo2hhk2gu8PEPjzMjnwWeF96mZvfaXpguR9NKQD,yGJJgzbM5ziyrFHLDujj7hNkFZYCxKwWKhp5c1TuxKiUznBXV,87.86447481,1,10457457,0,4320000,20107517317129,0x66cc6646527882d93d9e12ed941919a359e2d75a0349ae84512338df311ce52c,0x8236557a41e2632a354d68f412a6e83fcf53fe1e1cbe547fb0173d4c60d664ff
GeLx7d1CRWp11mvh9yYX5AVr3x8afm7eRP13PE6ALFYSRLh,yGGoXuZbjSnhdYbN7uzaGz4Am3rN9Py2JFTtgPGcDo9KPrLmV,226.5820151,1,10457457,0,4320000,52218059050925,0xba6c8d4f169caef4e12d55ee73132072e538169bfd98964d050872b42199e327,0x29de065c2a5fd846977f9ca5b952dcc79231106ddbc12b08a179cc907600d7f0
FcH9PGuZPBhNnm4B1trUS4tGy3jCRoMHamSLjiiLVcTcnMW,yGFmU6qFdokNWvNMFPrVawR59UmTk1j4XtdH7gd6qyJgK2czx,89.80280071,1,10457457,0,4320000,20556203868055,0xfa82d14ad53dc02123ed572f9b1526c5337ca8188666207e1f04d523ae138aa6,0x8c1e2b15af40034329e8757c6848e0290ed6f2c274cb0f963440a7ddcf210dbf
GtFNr9ScMw9ddV1kT14NzwYdxbxJErnxpwKZnno9VTAWn2K,yGH3SLJ8Arj7yBD5CyHbnqywoqm1y7Y7yZsSzugAvnJX1vgHB,68.98493038,1,10457457,0,4320000,15737252402777,0xebc1c7e4cc026dafe826ce261f84eb4e9d6fc6fcb550dee853af0c0df72e22af,0x12c823c4453c0ffde68339017fcc5561ba5b1b7f1658c9860b2ce9cddde19118
FPwvEg2E5ebqbhBGzk6VVinmFdXARPtKTZiNsgyCizrybgs,yGFZ8sgekUSqRPBHNVqLpxUj3y43Xyif4vW5Pim56qY4iPiYq,44.3959129,1,10457457,0,4320000,10045350208333,0x98c8bcd9c7fce040df0a36db8c4b3b43c5dd92d824ef31908d40dbc0458c3396,0x564f7ea83d925fad7bfeb020d8b2f811ae5bb9ed673a09b6783ce9cab06f3e86
GJBFhtVkLnmNahsarJYA8aipRFGwhF1DKTudbvsffRkSmPF,yGGTND9sDzhyavAJ4oguGd7az2DfHkzWBpMyayVK1JUVbrQDJ,1249.995679,1,10457457,0,4320000,289119370138888,0xc249e3509ab0adc34f30b2a716cc5e9290398fb4b15427bd3b53636499566cb7,0xfc3dd8077ff85cc43f6a6c9536dd6af81b88b0218cc83c8818fa416a9cab39fd
GhbHxbk431gvS6398y25HLRt9zK3S12Aur9i3NgpzPJeYFT,yGGrnFQaUJQCWU1gEMyZkYGLh5xQKrjGCmxMq3vkpToTA4axK,470.612864,1,10457457,0,4320000,108706681481481,0x0ee33a2efbd19de19278284ebe8b74a189fb62a660d64e416617adf337d3b009,0xaf9bd1b3e76446c3538c3e4effff288410bd0d4a71f13b977d97716b5274444d
GbsSrDAMCv2MV9L6PRXMoHnGuBr1mQhmxwwFCxcR8oN82QY,yGGm4QJBtba6qu4jXKE2FpnJ3Uhbrq4ftP1Tcb6Lk3wsDXwGf,94.47496855,1,10457457,0,4320000,21637724201388,0x443523f23e6e26b77497edaa087818a621490029124aca6af1413f68ae009fa8,0xdabbade36569bb153669b16d3dfea53ce495946ae98254770393387612e7879f
Cd3yc9DY78mWgcPyxiipJUof6hWuHmS6GDv6pDNTaU9gm9Q,yGCnEw47wnUKb4GCbCoKTHHV4ru7Xib2chJjbShbW6PY16Yp9,215.7756803,1,10457457,0,4320000,49716592662037,0x79b74b6ec62a61a80fe2f15bb0285e95dfbc3217217772a6efd38865bd05c819,0x7c5549d5cfd36513c595f8447474426b6ea84337bf7db254b08c924a122dcb42
GAkKBZA5XyRMNVmMqJcum2D1h84PDWWw9REQhP3zqxHzMCn,yGGKwGdXtKuAEtx5xafuMNk2UDVY5CWmhYBvukamBdf29PxT9,866.5197623,1,10457457,0,4320000,200351796828703,0x861e9c17fb4bc88b34c5004783653f48dc98a180e151d6b2147ac3c654160428,0xe4a81a04a65360d028b2c7ef509946f295a1d20e09e8c2be9c46741b407b47b3
FFiW2mJ9kH6uj97zpEXBPfy1o1xiGDHrgeWtZrELTbgMaqq,yGFQuTUk2Q7TvTJjKDeqFeNgEDbRyXZUUTjACETEMyGfXmSak,1338.510772,1,10457457,0,4320000,309608975000000,0x008ed4f25d23434fa4f4275153f27786169c0ce921f44f30dc0760ee832c9f3e,0xe16714b96510854d556ef1dccae22e85946ce216ebeada2e7ddee3813d1fb664
DuZG6MKEFPENJ3yjx8pGCq7QvdYSE7BJkHWDNAjxiZdj6Xh,yGE4kDYL3Uca3useAxnjYjBqNcj3ZFXNMunoBZFYsbXdV98Sg,2671.834096,1,10457457,0,4320000,618248633333333,0xaf2c383314560a6a679fa4110892a8e9d6e3b3fbd9e7bdc6be7b5a4ce2215fa4,0x922466914ec0ceb3f33efd7baa7b0a3b99b3573cc51b7159decfeccf80a1567b
