KSM Address,QTZ Address,QTZ Total Amount,Transferrable Amount,TGE Block,Lock blocks,Vesting Blocks,Amount per block,Transfer tx hash,Vesting tx hash
E5XfYmkUigxNVgmZ7r7NJaUcQR9v5KWG419tGAPeo76Gf78,yGEEiczkUj5smv5GxmxSqqHajpCqAjNags6WqE9YXHcAwgYbS,350,350,10457457,0,0,0,0x4f5ec3b4f8c46c5fd5538f022d0ec8f23fa07aa63d28a966a678ed14ba8bb176,
EXasMmEibJXxSWwQdCm9o91Caj2iLt1N7oEPHgAqyZYMC7D,yGEgmpojxxxVMW278dToVcn9GQP93Xe9ByAJujB4JUndPm7sA,350,350,10457457,0,0,0,0xbbb324ab2f253c96fc6e016a51b1d7d1cab865ec2634bc789d041ece7ffc0bee,
Cumr3q29Ekd2JS6B98i5T2QQWowPeTvXHuHxQGiadMcVQ9V,yGD4xoVokPbwSZt2HPyjSYS2fcKDxCwj78LQyJHerDSRTuAN6,350,350,10457457,0,0,0,0xf3a8d6278d6c3951d797bf11ed6d01b9409ad647e3cbefb9fdd900d04c92dce4,
HXQVt5h3BhRf4VmHxDaZcmoUtr73Js51a5965FYfGhyNAy7,yGHgbTL4RHYtFCe5xWnpK2bn4ghG7rc8FccapRxdgJ5mpn8dz,350,350,10457457,0,0,0,0xe85c8a1f796751554099ac53acf570204e59ea3ac0c542a7bcfb55f1d1aba90a,
GbpFvvUDu43Vxy2kwLv4cwCh2qm5yLmnnyPdvfPFcm4LyH2,yGGm1DNuCUGEs3YZDymweXbwTtqFmuGbxPqV4yp3WtRpukbWF,350,350,10457457,0,0,0,0x85d1aaeabf57447809d56eb19c5dc13083e5a8922a0869a8fe65e07c2c2c3d42,
HWNJNGkUvQBdzPxBgiumP676U2NFzivKyeTMfbJvUAfATTw,yGHfZFpFUjHb1BZz9QXKeEN6NJGSP5Hz6w2A8hYySZHEWaWQ3,350,350,10457457,0,0,0,0x1841cfdb51e796bf0af7566971414c2746d8b255f1a07d35189c6a01c182436a,
DSPLh7hvkrUgiUGVZtJiGjQANLHQk9xfNaEt1mGU3ZrN6g3,yGDbaJ96SB83JEJ4TiQV3BFjfNAkJE3R9GR5vDu9Q6rdhmvUE,350,350,10457457,0,0,0,0xac2fdddec0fedbd78902389c8869f526cbac9e1509b58a1e1ea8d46888fa3281,
Ewo7HqfJd4ijFWP4ZyqPYRSsEERsmQf2UoE2P6jHN44A9Je,yGF6z4jpPYzFYGq6aHQaZrXRi52eSh4fqdXJuNGUrvB7ua13n,350,350,10457457,0,0,0,0xade9f9372fafe378e1df33fa0c84f296093c900dda8c276fb9214f13913b1cce,
FfWJmr7QiQdo6vCuHhn4uEVK1hHkMopyqG89xny2RBNw5ax,yGFphGDpqf5bTLgWQ88JWXtEkWp7JZf51asmoVrB6fEFEM1Tv,350,350,10457457,0,0,0,0xe77cb6bcfadeab90b936e57c1098942e4bd2b07811b7bedabcb83bf0873aeb71,
F3Bse7NgpAtVzWR4e6gfHZiCVEW8VwsqN16kNGkqNAcQYTX,yGFCNq666wBMi3a6cHUhR8GZyQHeWwoD4SQWn6FetUBETpHfD,350,350,10457457,0,0,0,0x87bd14fb3f68967ca48f810a5c06b5e24847d5d37ab69f55b4e536660837bb9f,
Gk3Ae7wyzsssezGXaMtP3Gb5avZJUs6PEPTEiPqheobejUf,yGGuE866gEN4hREaTkQxcr2GrHPLa7n8GzGu8abmyLTsT4V12,350,350,10457457,0,0,0,0x4bf45da2cb79257923d191146d03cd36c9d5b2ca203998375313afc77e241830,
D6691rxGhkFSieYrCcXWTLqsLrsB4oNTuz3KEmnmsRwbRYx,yGDFH6TqgX4w4zJEk53DFySM759GszN4Z4xVif89vQgVo19LX,350,350,10457457,0,0,0,0x6c000f6c7e71657d9b8065f8a8a13417bf1e6f47da981df2d5b36cb83deee487,
FZfBpZRZrTyGi7Wiwocuoa4KADUhy4PwknbzZMEx7xfnmmA,yGFir9GY9pDenpHhhwnQMNnaKWxdVXGKaYoJHLSjNaw2XCpBp,350,350,10457457,0,0,0,0x98cc40bc3be490f3e53eeeeb891e8271cc041658808fe59939cee37e85bf3d1d,
DyeCauhyDqka3eh5p6G3q58K9wQazXk9SzaWzF3LfouW4At,yGE8qA2tSDb2a7dEtJegzWp5PWxMRQHnvkVWFrsdAyUskuuHb,350,350,10457457,0,0,0,0xaf1c7b8486c49387e916ad46267b797c7484f12269191aef88e8c7679aae784e,
Dx1c84vNxdeYThpkBSJq64DHx7yPPSgfj4FAVq2dzg8vbE9,yGE7CZa3edKpU63J1y233J54UVkXzCghsGmZvWPDAGojzLkfx,350,350,10457457,0,0,0,0xfd0b2c39ee052b2e4652e6a7ab9e4aa4b9ddf0ce038aa98944f8d7478afae948,
F9oTAwpZ4xdNFYyomxEcv7biahfYdY3R2mMYywa2aZuq91s,yGFJzQcvYoS9Suq9B2cYy5u7rvP7gMvoE25H2tsKhfPdmF2Lo,350,350,10457457,0,0,0,0x337ec0b25fa60cff666f92824a987de963f12a758083a871d7c20d6c828c5be0,
ESfEWFeZUeshxzH6cmLBvY5rKzs4kNP1amgz659GkRKze5K,yGEbrBxENoqqhFYaUKTN4euYM48Qst3dZcdHNKyTGuZVBQPiU,350,350,10457457,0,0,0,0x2e662be2d557871da8022cca53f0533938cf7f32712fadaaf00fd4ba3967c832,
G9YDrwcQyjZEDu6vqRJyK6hLA1zaZj8jk1wX6BjBuoEtfLc,yGGJjBJvLfLvNmoVJ9g23SJ6xXxS1PrzKLnXcryZrpis6JP9j,350,350,10457457,0,0,0,0xe9abf7d0c422aed9d206e3dc1f2cb61d9d8e49d0b3b8149ef7160bc5575aa7d2,
