KSM Address,QTZ Address,QTZ Total Amount,Transferrable Amount,TGE Block,Lock blocks,Vesting Blocks,Amount per block,Transfer tx hash,Vesting tx hash
DcfcCcxTCP4uEipqHuNJNmAkLw8P7YEuGavhcS9rygfDyBW,yGDmrZebghZZtSpK248W6mMmRx9M9CQoRWK6c3VpHVnkWdsAV,272667,1,10457457,2592000,2592000,105195216049382716,0xd4817e909ce58da4e8d21c82e3afc5561f46deb2245bcba5013fa5a3b19aee27,0xaf4012ea164b719e7d25d26f3d64095b3a04bd7b7d5a3f1f6f689e1885bb57b0
DGgd4x6sLzp7M4qhZCo4SXv5jR11k3PZeRxUJzmaV3TZ4e4,yGDRsaWvq7iBdevf2vPoXXRYBHXq1q3JaAgwdpCNuDJ7Jy5Ea,287000,1,10457457,2592000,2592000,110724922839506172,0x835896890c9fb20294e83ee448571c565267a27f194e19872033031f8bf8c26d,0x8951b7927fdef0ca4a5acb67eb2302f62596cd2ea66de1ad612cc01ef77ecf89
J4ZSLC9tEvzMKhQTy8RMPsw3d39co4yYCwnxovHEr2kjuQr,yGJDkPnAt8c7otuHbgoj9pNtCFRTAS6LA9FTUJhJQsf6c9xNP,136800,1,10457457,2592000,2592000,52777391975308641,0xaa98fd0c35760fb3ef6aba1394e90b6a1f629a0bc0501bc31bcca63bccd3ae65,0x9a0e4d58d9b05530647367ad09e4a599aa6d443d59a232e7a3312f77a766ff26
CxRJ2jVXKDTf2u27YzdoYkrCwSP1K3LA9b3UviCQUmGg2jg,yGD7cFUiDmgQHCcVDLPbNGXm7QjrPpcJWmC6ipp6L3Hq8623t,146000,1,10457457,2592000,2592000,56326774691358024,0x90c3c177f610112b8718774b5c858c9c534b7cb5a97bf773a002929b4b748e9a,0xe8fb2c0663a152965265344287ab56d8fd3147073e12140b031eeffb37553c45
EtmPJc2YaY63JmA9GzM8jeqYa53qqXAPmBHfpzw1TprYivq,yGF3xLkaknwiuatMMN7b5bif6kNV4f8nLzogy1iP4eGthxQUS,137000,1,10457457,2592000,2592000,52854552469135802,0x5d87d5aeceb9944a69dcea0c3f42ade8332140cfd65e05ab10b4882fc04afb9a,0x9e29a364845e8de56ca6bc6e1f88fa092bc5d384f8cfe1474ee8d2811bc17598
EScYZai9nwR9hntEimmbza5GdnszsMDftGWabCMokCJx49o,yGEboW1ZSQA8EhHP5TZNW4yaLUSCtpAcQGvnBvUaVSZGAN6YF,58800,1,10457457,2592000,2592000,22684799382716049,0x6dabffc692a0e478fe0ec7cb169c06a2affc03f27596fdf3dd72e12207093452,0x7ad469aacedf298a557a459ffdbf30156c49c427c8aab8b13e060918d7ed5e1e
HhVrE5gpT2F4uWCPdCKnxwq97ppgmDxAyGAy2DdvQYjFXAM,yGHrgog4R4pD4cV6PcTo4Fwx6LvEqW4V8n1mrJubmZDcafdET,188000,1,10457457,2592000,2592000,72530478395061728,0xdd5dcb303a8a7d027080162c1bacc1df373bf53ff86f907586e63b2b35d1ba8f,0x49f33c792178e8505317b30530ff1091ed1d8724700171dd24f27a30dea9f99e
DrtovYf5BPHfFox2oMRb1n6wMmYYWBXF1HqXegWdbMHegzF,yGE25mNXPKYa7CqQ9FdxA3znN9ABZMoShr3oWsY4eGQR94jkS,37500,1,10457457,2592000,2592000,14467206790123456,0x1ea7e5efe2b32fcac8851fbd225f8f452a94a2595662c6588f2a2f56e5d39b87,0x4bbec9f2bfe063a23d02e9abd0ac30be1d8468b6e44d2827b1af0f8a5e8c2dc3
Gkt7yNtKrG5DGas1p8YXs42K4pNRcK6a1mXigPqTuM6sjTx,yGGv55RMcaDStkrB4EejGzr4HWsEPEuaHB4HD4Zmy6iQxHSzh,60800,1,10457457,2592000,2592000,23456404320987654,0x31457233f4893d3ce36c1fd9bd518ba43c6e5b24718c500e8ba7a93f321e63b3,0x2a3eb27221f418391b46a79f4bdacbc762e30463d3bd553677487c5993f01aca
HLajF8Sw1rQdnrM4wguiTj1WETJjRPzAQVo8doj2XoK678q,yGHVmgh7BBP3EBNSYHnHeBSjGi2sKYifAmT1UUXBrfLsAVygZ,57600,1,10457457,2592000,2592000,22221836419753086,0xaf2919ddfb72bec8ab6ae0eeb717942c48d5f045168b614534d22f36e5bfd973,0xe013b0263c9a146372a011c4bf9c13b5204ab02fd5d2600c651228465e1c1221
